id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>
2	一	0.1822	0.0974	2	262	467	28
7	七	0.5848	-0.2269	2	72	83	3
9	七月	-0.986	-0.2787	1	39	44	2
12	三	0.3685	0.4395	2	271	496	24
13	三代	0.3098	-0.9212	2	56	59	2
22	三年	-0.7017	0.1016	1	70	80	3
24	三百	1.08	-0.0276	2	39	43	2
27	三辟	-0.4394	-0.9069	3	36	41	2
28	上帝	-0.8168	0.3396	1	61	66	3
36	世	-0.185	-0.6301	3	59	60	3
41	並	-0.6438	0.6103	1	68	75	4
47	主	-0.2072	0.3284	1	156	211	14
49	久	-0.5099	0.3226	1	29	30	2
52	乘	0.8315	0.3937	2	78	92	3
53	九	0.8351	-0.215	2	92	125	6
54	九夷	0.6044	-0.8572	5	74	81	2
55	九州	0.22	-0.4788	2	48	55	3
61	亂	-0.6533	-0.0987	3	17	18	2
63	事	-0.0287	0.3417	1	323	570	27
64	二	0.4178	-0.2034	2	298	520	25
67	二十五	1.123	0.2759	2	64	70	2
71	二月	-0.1385	1.0218	1	31	38	2
76	五	0.4243	-0.4142	2	181	281	14
77	五十	1.0439	-0.1794	2	88	113	3
79	五帝	-0.9554	0.2768	1	38	47	3
87	亡	-0.4654	0.3381	1	81	90	4
92	人	-0.108	-0.0582	3	201	291	19
97	今	0.342	0.0023	2	341	606	31
99	仕	0.6097	-0.9812	5	51	51	2
100	代	-0.1497	0.1257	1	66	73	3
101	令	-0.2005	0.7564	4	22	23	3
103	仲春	-0.4772	0.8099	1	52	56	2
106	任	0.5714	0.416	2	55	57	3
108	伐	0.5433	-0.6127	5	68	68	2
109	伯	0.8279	-0.4914	2	91	140	9
112	位	-0.6046	-0.3233	3	115	140	8
113	佐	0.8631	-0.6453	2	22	31	2
114	作	-0.4661	-0.4352	3	161	211	12
118	使	0.3969	-0.6512	5	129	167	6
120	例	0.0289	0.5074	1	43	43	3
121	依	-0.7801	-0.2629	1	37	38	2
122	侯	1.0069	-0.3575	2	73	114	7
126	俗	-0.4779	-0.2374	1	20	21	2
127	信	-0.7055	-0.2664	3	44	44	2
133	假	0.2213	0.5748	2	43	44	2
138	備	-0.1925	0.2079	1	70	84	4
139	傳	-0.4693	-0.0493	3	80	95	7
147	兄	0.1378	-0.8271	5	42	44	2
148	兄弟	-0.1177	-0.144	3	25	25	2
150	先公	0.1605	0.315	4	65	71	3
151	先師	-0.7241	-0.2168	3	52	58	5
153	先王	0.3404	0.7083	4	71	78	4
156	免	-0.8958	-0.2913	3	23	23	2
159	入	-0.0427	0.5558	1	117	132	7
160	內	0.7661	-0.3454	2	159	245	11
163	兩	-0.1949	-0.3557	1	76	84	4
164	八	0.87	-0.4272	5	151	214	8
169	公	0.384	-0.2939	2	101	127	7
175	六	0.6928	-0.093	2	197	276	10
180	六月	-0.9213	-0.5176	1	15	16	2
181	六百	1.0611	-0.0014	2	39	43	2
185	共	0.7654	-0.4631	5	119	136	4
188	兵	0.7447	-0.2565	5	77	97	4
194	冠	-0.1395	-0.2451	1	48	54	3
201	出	0.4885	0.5905	2	182	282	16
203	出冰	-0.1781	1.0038	1	31	38	2
204	分	0.3343	-0.4785	2	89	106	6
210	初	0.1821	0.6948	1	34	34	2
213	別	0.4044	-0.342	2	78	82	5
215	別子	-0.1636	-0.2014	1	25	35	2
216	制	0.1332	-0.1761	4	217	346	15
217	刺	0.0708	0.1248	3	24	24	2
219	前	-0.404	0.5344	1	149	183	9
222	功	0.7478	0.3556	2	38	38	2
229	化	-0.5842	-0.7191	3	35	38	3
230	北	0.4586	-0.9374	5	67	72	4
234	十	1.0369	0.0578	2	83	113	4
236	十一月	-0.069	0.8762	1	35	36	2
238	十二	0.7314	0.4182	2	93	121	4
240	十二月	-0.4582	1.0442	1	59	69	3
242	十月	-0.5701	1.0263	1	42	47	2
247	半	0.7127	-0.4516	2	55	58	3
249	卒	-0.1697	0.4121	1	53	58	3
250	南	0.4265	-0.9991	5	66	70	3
251	南北	-0.3136	-0.4582	1	26	28	2
253	南方	-0.0039	-0.4599	1	61	64	2
255	卜	-0.156	-0.7193	3	32	35	2
259	卿	0.9381	0.2134	2	85	109	4
260	卿大夫	0.587	-0.734	2	45	49	2
266	厲王	-0.5526	-0.0594	1	28	29	2
267	去	0.3029	0.5383	2	107	128	7
269	反	0.0246	-0.3193	5	155	192	8
270	叔	-0.2159	-0.9133	3	29	30	2
271	叔世	-0.4053	-0.9167	3	36	41	2
273	取	-0.2082	0.2506	3	26	28	3
275	受	-0.0697	-0.6611	3	74	82	4
277	古	-0.127	-0.5305	3	120	150	10
280	句龍	-0.7078	0.3119	1	64	76	3
