id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<tfidf>	weight<Occurrences>	score<pageranks>
1	易	1.1161	-0.1765	2	14	23.3824	0.0067	7	0.0014
2	夫布	1.1853	0.0996	2	30	52.0408	0.0029	4	0.0026
3	歸	0.3742	-0.1674	2	33	52.5359	0.0034	4	0.0021
4	畝	1.2831	-0.2167	2	26	43.5787	0.0044	12	0.0022
5	率	1.159	-0.2365	2	47	80.0062	0.0031	4	0.0036
6	餘	1.0887	-0.1135	2	55	92.7458	0.002	5	0.0042
7	征	1.1195	0.0905	2	29	49.7106	0.0026	3	0.0025
8	夫	1.2115	0.0692	2	26	44.3209	0.0044	8	0.0023
9	百	1.1576	-0.3081	2	39	67.9082	0.0093	17	0.0031
10	民	1.0068	-0.3283	2	26	42.2204	0.0122	18	0.0021
11	萊	1.009	-0.1365	2	39	64.2149	0.0015	4	0.0029
12	地	1.1057	-0.337	2	39	68.1356	0.0099	19	0.0031
13	家	1.2076	-0.099	2	38	63.6166	0.0102	17	0.003
14	三百	0.9495	-0.2263	2	50	85.5558	0.0015	3	0.0038
15	五十	1.1631	-0.3478	2	39	67.4532	0.0015	4	0.0031
16	九州	-1.0721	-0.7394	1	9	14.6052	0.0034	4	0.0011
17	郊	-1.048	-0.4771	1	21	35.2838	0.0055	8	0.0016
18	社	-0.984	-0.7546	1	14	24.7323	0.0128	26	0.0015
19	左傳	-0.7981	-0.5898	1	28	45.0454	0.0047	7	0.0021
20	犂	-0.9253	-0.6957	1	17	29.1026	0.0022	4	0.0017
21	封	-0.9242	-0.7365	1	16	27.8359	0.004	5	0.0016
22	神	-0.9311	-0.6439	1	22	36.9899	0.005	7	0.002
23	句龍	-1.013	-0.7338	1	14	24.4664	0.0023	5	0.0015
24	祀	-0.9799	-0.5541	1	31	50.6165	0.0085	12	0.0023
25	后土	-1.0045	-0.669	1	16	27.9546	0.0112	26	0.0016
26	爾雅	0.9763	0.3185	2	42	67.6543	0.0053	5	0.0035
27	布	1.1631	0.2441	2	21	35.7153	0.0022	5	0.0019
28	職	1.1745	0.1952	2	24	41.7858	0.0137	30	0.0022
29	耕	1.0063	0.2084	2	17	28.9824	0.002	4	0.0016
30	重	0.8601	0.2662	2	24	40.1914	0.0037	6	0.002
31	旨	0.6914	0.0733	2	44	70.7393	0.0016	3	0.003
32	貢	1.2167	0.2177	2	24	41.6095	0.0023	4	0.0022
33	八	1.1442	0.3472	2	36	59.9367	0.0077	17	0.0033
34	少	0.9106	0.0466	2	29	47.6437	0.0077	6	0.0024
35	稅	1.0207	-0.014	2	33	56.1024	0.007	8	0.0028
36	康誥	0.7472	0.2057	2	38	61.7359	0.002	3	0.0027
37	異	0.8745	0.1252	2	32	50.4113	0.0107	20	0.0023
38	獨	0.9668	0.101	2	39	64.7731	0.0028	4	0.0031
39	掌	1.0824	0.203	2	36	60.6783	0.0033	4	0.003
40	計	1.1508	-0.0886	2	50	85.1335	0.0013	3	0.0039
41	賦	1.2036	0.164	2	25	42.8415	0.0089	12	0.0022
42	閭	1.0439	0.2233	2	54	89.5904	0.0036	3	0.0044
43	適	0.9819	-0.0115	2	64	104.9656	0.0031	3	0.0048
44	治	0.8387	0.0257	2	48	77.2201	0.0038	4	0.0036
45	稃	1.0974	0.3068	2	46	75.9854	0.0029	3	0.0038
46	族師	0.8775	0.1859	2	46	75.8735	0.002	3	0.0035
47	族	1.146	0.1746	2	51	84.146	0.003	2	0.0041
48	鎬京	-0.5243	0.3001	1	102	170.9762	0.0046	3	0.0051
49	紂	-0.8659	0.4245	1	54	91.5837	0.0028	4	0.0029
50	曲禮	-0.8548	0.0021	1	37	60.8442	0.0012	2	0.0022
51	號	-0.7019	0.2771	1	118	195.8033	0.0044	4	0.0059
52	備	-0.1303	-0.0165	1	86	141.0069	0.0045	5	0.0044
53	並	0.1289	0.3248	1	78	126.9596	0.0037	4	0.0043
54	生	-0.4328	0.4185	1	82	133.9644	0.0029	4	0.0042
55	攝	-0.8227	0.5815	1	25	41.2784	0.0026	3	0.0015
56	取	0.3666	0.3085	2	73	117.3426	0.0037	3	0.0045
57	賢	-0.3857	0.1196	1	89	147.7135	0.0039	5	0.0045
58	師保	-0.6344	0.4145	1	68	111.8249	0.0024	3	0.0035
59	還	-0.8268	-0.2108	1	70	117.3659	0.0061	5	0.0037
60	經	-0.2698	-0.1588	1	90	150.4504	0.0037	5	0.0047
61	心	-0.0264	0.2318	1	87	141.5802	0.0024	4	0.0045
62	黃帝	-0.251	0.2909	1	95	158.2882	0.0029	3	0.005
63	狗	-0.4043	-0.0669	1	127	212.2514	0.0037	3	0.0064
64	周公	-0.9216	0.5037	1	47	76.5037	0.0124	15	0.0026
65	先師	-0.7161	-0.1746	1	57	90.8301	0.0068	5	0.0031
66	錯	0.1043	0.1543	1	76	123.5551	0.0035	5	0.004
67	成王	-0.7703	0.5091	1	36	59.5778	0.007	7	0.0021
